title,rating
This Is Just to Say: Poems of Apology and Forgiveness,4.22
Resurrection,4.14
Dancing With Werewolves,3.2
"Win Competitions Online (A Competitors Guide, #1)",4.0
Nemesis,3.72
Whose Woman Was She? A True Hollywood Story,3.85
God: A Biography,3.92
The Crusades Through Arab Eyes,4.19
God King: A Story in the Days of King Hezekiah,3.95
Precious and Fragile Things,3.44
The Monstrumologist,3.89
Chosen: The Lost Diaries of Queen Esther,4.08
The Lies About Truth,3.88
Initiation,3.78
The Exiles,3.91
Enslaved,4.05
"Gravitation, Volume 05",4.03
Blood of Angels,3.91
Long Time No See,3.97
Penny Flame,3.88
Lost in Time,4.04
Dragongirl,4.04
Sweet,3.91
Before He Was Gone,4.15
The Billionaire Rancher's Bargain for A Bride,4.43
The Fig Orchard,4.11
"Owly, Vol. 3: Flying Lessons",4.23
The Warded Man,4.24
London's Perfect Scoundrel,4.05
Taylor Swift: The Unofficial Story: Platinum Edition,4.17
Master of Craving,4.05
"Say Cheese, Medusa!",4.16
Minx,3.85
Swann's Way,4.12
Welcome to Rabbitwood Farm,5.0
"Fullmetal Alchemist, Vol. 2",4.52
Do's and Don'ts of Yesteryear: A Treasury of Early American Folk Wisdom,3.96
The Echo Maker,3.4
Foxmask,4.11
A Bird Without Wings,4.17
Dragonflight / Dragonquest,4.47
Walden and other writings,3.94
Healthy Breakfast Recipes: Kick Out Your Boring Diet Today (Healthy Recipes),5.0
Higher,4.13
How to Travel with a Salmon and Other Essays,3.85
Running Wild,3.5
Spud,4.07
Dinotopia: A Land Apart from Time,4.25
The Haunted Bookshop,3.64
"The Complete Novels of Jane Austen, Vol 1: Sense & Sensibility/Pride & Prejudice/Mansfield Park",4.52
With Everything I Am,4.27
The Power of a Praying Wife,4.33
The Remnant,4.02
A Lion in Your Number,3.46
The Kite Runner: A Portrait of the Marc Forster Film,4.61
Cemetery Street,4.15
Free to a Good Home,3.78
The Pigman,3.59
The Dragon Factory,4.15
The Rithmatist,4.22
Light of My Heart,3.93
The God of the Old Testament Is Not the Father of Jesus,5.0
The Emotion Thesaurus: A Writer's Guide to Character Expression,4.49
Flat-Out Celeste,4.25
We Are All Welcome Here,3.86
Scales of Gold,4.46
Tiana,4.26
Our Lady of Guadalupe: And the Conquest of Darkness,4.51
The Book of the Sword,3.6
The Apothecary's Daughter,3.8
Maximum Security,4.26
Big Questions,4.16
I Capture the Castle,4.0
Chasing Tomorrow,3.82
The Amish Seamstress,4.25
Paris for One,3.58
Mark of the Plague,4.42
This Immortal,3.93
The Idea of Justice,4.0
Havemercy,3.63
Secret of the Sirens,4.04
The Last Templar,3.62
Ancient Forces Collection: The Ancients/The Wiccan/The Cards,4.26
When It Happens,3.75
Father and Son,4.13
Tietam Brown,3.73
The Misenchanted Sword,4.03
William and Kate: A Royal Love Story,3.58
Lopsided: How Having Breast Cancer Can Be Really Distracting,3.7
The Lost and Found Journal of a Miner 49er: Vol. 2,4.6
Steel,3.42
The Wonder,3.62
Kris Jenner . . . And All Things Kardashian,3.54
The Way Back: Inside the Mind of a Multiple Personality,4.08
Edge of Darkness,4.37
The Memory Stones,3.59
Fairy Tales from the Brothers Grimm: A New English Version,4.08
Knots and Crosses,3.83
The Blue Sword,4.19
Prophet,3.94
God's Generals Why They Succeeded and Why Some Fail,4.46
Walking In the Midst of Fire,4.01
A Wind in the Door,4.0
The Charm School,4.27
Legacy of a Pack Rat,3.89
The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,4.09
Fear Itself,3.97
"Chobits, Vol. 6",4.12
Sparks Rise,4.35
The Maitreya,5.0
The Art of Always Being Right,3.57
Dagon and Other Macabre Tales,4.2
Thanksgiving Night,3.22
Walking in Circles Before Lying Down,3.45
Hope and Red,3.92
Sir Dalton and the Shadow Heart,4.44
Reckless Endangerment,4.01
Hot Girl,4.0
A Night to Forget,3.52
The Miraculous Day of Amalia Gómez,3.72
M: The Man Who Became Caravaggio,3.91
Forever a Hustler's Wife,4.46
Executive,4.11
Lovers and Dreamers,4.34
Wellbeing: The Five Essential Elements,3.75
Dark Magic,4.15
April 1865: The Month That Saved America,4.15
Shadowmere,4.33
Winter in Madrid,3.83
The Folk of the Faraway Tree,4.33
The Craving,4.0
Banana,3.88
"Holidays in Hell: In Which Our Intrepid Reporter Travels to the World's Worst Places and Asks, ""What's Funny about This?""",3.93
"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady",4.26
Manners & Mutiny,4.23
The Human Familiar,4.3
The Promise,4.18
Off the Page,3.73
Seduced by His Touch,3.88
Three Day Road,4.3
Rhianna,4.13
The Clique,3.6
Followed by Frost,4.22
Something Upstairs,3.84
Alphabet of Thorn,4.07
Village School,4.08
The Elite Kings' Club Box Set,4.52
Renegades,4.15
Silent Spring,3.98
Metatron: The Angel Has Risen,4.03
Atheis,3.87
The Nobodies,4.05
The Courage to Create,4.11
Forbidden Colors,3.93
Blind Obsession,4.02
"Engineering Mechanics: Dynamics, SI Version & Engineering Mechanics: Statics, SI Version",3.8
The Wall of Winnipeg and Me,4.32
Cold Days,4.47
Just Friends,4.31
The Hand on the Wall,4.2
Essential Oils For Beginners: Ultimate Guide To Aromatherapy And Essential Oils For Healing,5.0
A Stone for Danny Fisher,3.98
The Dark Design,3.73
Kiss of Crimson,4.15
Brother to a Dragonfly,4.3
The Ghost Wore Yellow Socks,3.98
Turbulence,2.6
The Guest Cat,3.53
Julio Cortázar: Rayuela (Critical Guides to Spanish Texts),4.4
Star of the Parade,3.75
Sexism and God Talk: Toward a Feminist Theology,4.06
The Abbi Glines Rosemary Beach Collection,4.69
Politics - According to the Bible: A Comprehensive Resource for Understanding Modern Political Issues in Light of Scripture,3.87
A Lion Called Christian: The True Story of the Remarkable Bond Between Two Friends and a Lion,4.06
Snow White and Rose Red,3.76
Plague,3.8
Embrace The Dawning,4.2
Across the Void,3.15
Renegade Magic,4.1
Set in Stone,4.04
Strumpet City,4.26
Julie,3.67
The Marriage Plot,3.45
A Dream in Polar Fog,4.15
Big Bang: The Origin of the Universe,4.18
Life After Wrap,4.57
The Pillars of Islam & Iman - And What Every Muslim Must Know About His Religion,4.62
The Cut-Throat Celts,3.97
Duel of Eagles: The Struggle for the Skies from the First World War to the Battle of Britain,4.2
Unapologetic,3.75
The Deep,3.38
Changeling,3.97
Fall for Anything,3.76
Picture Perfect,3.54
Rust & Stardust,4.13
"Fables, Vol. 15: Rose Red",4.23
Gargantua,3.48
The Great Secret: Talks on the Songs of Kabir,4.03
New and Collected Poems: 1931-2001,4.35
Holiday Gifts,4.41
The Girl of the Sea of Cortez,4.04
The Illustrated A Brief History of Time/The Universe in a Nutshell,4.31
God is in the Little Things Messages from the Golden Angels,4.7
The Two Princesses of Bamarre,4.04
The Unhoneymooners,3.98
The Greyfriar,3.81
Beneath the Secrets,4.16
Hotel Sorrento,2.86
Freethinkers: A History of American Secularism,4.05
Mirza Ghalib,4.78
Take This Regret,4.04
Verity,4.32
Sniper One: The Blistering True Story of a British Battle Group Under Siege,4.26
The Outcast,4.09
The White Tree,3.7
The Dark Tower Omnibus,4.45
Stephanie Alexander's Kitchen Garden Companion,4.42
Dangerous: Risky Business / Storm Warning / The Welcoming,3.89
Floors,3.94
Almost Priest,3.93
A Common Life: The Wedding Story,4.22
Moneyball: The Art of Winning an Unfair Game,4.26
Midnight Alley,4.1
The Gold Miner's Daughter,5.0
Love Invents Us,3.59
The President's Lady,3.94
Taken,3.27
Outcast,4.33
Blood Trail,4.25
Spark A Little Flame (Make A Little Magic #1),4.0
Mr. Brown Can Moo! Can You?,4.12
Leopard's Prey,4.3
Lie Down with Lions,3.83
It's Not about the Bike: My Journey Back to Life,3.71
Midnight Caller,3.83
Hope Unseen: The Story of the U.S. Army's First Blind Active-Duty Officer,4.22
Miss Pettigrew Lives for a Day,3.97
How To Talk To A Widower,3.98
The Last Stand of the New York Institute,4.24
Hot Six,4.19
"Alas, Babylon",4.08
Coven of Celsus Elizabeth,3.33
Good Eats: The Early Years,4.37
A Dirty Job,4.05
Renaissance Society,3.48
Dark Corner,3.98
Testimony,3.57
"Krazy and Ignatz, 1925-1926: There is a Heppy Land Furfur A-waay",4.43
Into The Shadow,4.21
The Deep Beyond: Cuckoo's Egg / Serpent's Reach (Union-Alliance Universe),4.1
Treasure Box,3.33
A Court of Mist and Fury,4.62
Ella Enchanted,3.98
The Flight of the Feathered Serpent,4.54
Winter,4.44
Trouble,3.84
"More Than Love, A Husband's Tale",4.31
Suicide Casanova,3.5
Chicken Soup for the Teenage Soul,3.93
Sounder,3.97
Fuzzy Mud,3.88
The Antonio Gramsci Reader: Selected Writings 1916-1935,4.26
Ingo,3.94
Real Ugly,3.86
Devilish,3.74
Digitalis,4.38
The Summer that Melted Everything,3.94
A Man Without a Country,4.08
Black Lament,4.05
Frostproof,4.63
Babe: The Gallant Pig,4.08
A Man Called Ove,4.36
Hitler,4.34
"Out of Sight, Out of Time",4.33
"Debt: The First 5,000 Years",4.16
The Funhouse,3.62
Who Let the Ghosts Out?,3.86
Third Grade Angels,3.8
The Burning Page,4.05
The Complete Uncollected Stories,4.28
Frostfire,3.84
"The Color Code: A New Way to See Yourself, Your Relationships, and Life",3.91
"The Pentagon's Brain: An Uncensored History of DARPA, America's Top-Secret Military Research Agency",3.9
A Room of One's Own / Three Guineas,4.17
A Kiss at Midnight,3.8
Fade,4.57
The Old Man and the Sea,3.78
The Last Days of Rabbit Hayes,4.25
The Creation of Eve,3.69
Who Is Jesus?: Linking the Historical Jesus with the Christ of Faith,4.07
City of Orphans,3.97
Martin and Malcolm and America: A Dream or a Nightmare?,4.39
The Black Hand Gang,3.19
Uncharted,4.05
The Martha Rules,3.64
What to Listen for in Music,3.94
The Guise of Another,3.82
The Changeling,4.13
The Dinosaur Lords,3.04
How Old Is the Universe?,4.19
A Cry of Angels,4.43
A Sword in Her Hand,3.59
Claimed,3.77
Not in the Heart,4.18
Waging Heavy Peace: A Hippie Dream,3.58
Cat's Eye,3.92
Don't Close Your Eyes,4.37
Girl in a Band,3.62
The Divine Conspiracy: Rediscovering Our Hidden Life in God,4.18
Transference,3.75
Seeker After Truth,4.61
Viper Moon,3.62
"Runaways Deluxe, Vol. 1",4.2
Pretty Girl-13,4.01
Every Day I Love You More: (Just Not Today): Lessons in Loving One Partner for Life,3.39
Blackbird: A Childhood Lost and Found,4.09
A Tide of War,4.58
The Time Thief,3.92
Prelude To Christopher,3.84
Across the River and into the Trees,3.33
Frost Burned,4.36
Poems,4.16
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,4.13
Murder Past Due,3.82
The Slap,3.2
The Other Lands,3.8
The Complete Book of Swords,4.05
Touching Smoke,3.71
"Eat This, Not That!: The No-Diet Weight Loss Solution",3.71
The Prophet,4.22
Play of Light,3.92
Nowhere Feels Like Home,4.77
Waiting on the Sidelines,4.03
Origins,3.87
Unravel,3.65
The Very Best of Charles de Lint,4.31
The Dive from Clausen's Pier,3.42
Monsoon Love and Other Nepali Stories,3.67
Can't Buy Me Love,4.14
Modern Man in Search of a Soul,4.19
Dreaming the Eagle,4.06
Natural Born Angel,3.79
The Joke,4.01
The Pixar Touch: The Making of a Company,3.94
My First Coup d'Etat: And Other True Stories from the Lost Decades of Africa,3.78
The Forgotten Beasts of Eld,4.08
Stepbrother Dearest,4.1
Separation of Power,4.3
Rapture,3.86
"Flight of the Buffalo: Soaring to Excellence, Learning to Let Employees Lead",3.69
"Kingdom Hearts, Vol. 1",4.07
Quest Study Bible: NIV,4.67
Mediated: How the Media Shapes Your World and the Way You Live in It,3.79
Diane Arbus: A Biography,4.01
The Wolf Wilder,4.06
Saving Fish from Drowning,3.44
The Silly Chicken,3.95
The Naked Ape: A Zoologist's Study of the Human Animal,3.95
The Nine Lives of Chloe King,3.78
Throne of Glass Collection,4.75
Twisted Sister of Mine,4.15
Broken Embrace,3.96
The Dead Emcee Scrolls: The Lost Teachings of Hip-Hop,4.19
Loving What Is: Four Questions That Can Change Your Life,4.1
18 Things,3.44
Witch Ball,4.05
Rules,3.97
An Evil Cradling,4.34
The Valley of the Wolves,4.06
Prison Memoirs of an Anarchist,3.97
Driving Mr. Dead,4.1
The Eagle of the Ninth,3.92
The Valiant,3.8
Verita,3.85
Three Sisters,3.97
The Leadership Secrets of Colin Powell,4.04
The Titan,4.34
Rainbow Boys,3.84
Left for Undead,4.22
Schoolgirl,3.9
Missing,4.14
Cocktail Hour Under the Tree of Forgetfulness,3.88
The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,4.31
"Star Trek 101: A Practical Guide to Who, What, Where, and Why",4.09
A Map of Days,4.14
Meet Me in the Dark,4.09
Garden Spells,4.06
A Duke's Temptation,3.56
"Wages, Price and Profit",4.17
The Complete Secret Seven Library,4.25
Extinction,4.05
Waltz With Bashir: A Lebanon War Story,3.93
The Power,4.09
Billiards at Half-Past Nine,3.93
Three Dark Crowns,3.83
Thunder and Ashes,4.11
Striking Thoughts: Bruce Lee's Wisdom for Daily Living,4.32
To Dance with the White Dog,4.2
Essentials of Organisational Behaviour,3.92
Eyes Ever to the Sky,3.6
BOAT SHOES – SOLILOQUY OF A USELESS EATER: Book Two,4.73
Men of the Otherworld,4.26
"Fables: The Deluxe Edition, Book Two",4.33
Bec,4.17
Black City,4.1
Autobiography of a Fat Bride: True Tales of a Pretend Adulthood,3.97
Grasshopper Jungle,3.63
Naughty Delivery,3.8
"Pumpkin Town! Or, Nothing Is Better and Worse Than Pumpkins",3.79
A Little Something Different,3.61
Golden Stories of Accepted Prayers,4.62
Moon Cursed,4.4
Finding Laura,3.88
Anna Dressed in Blood,3.93
Washington's Crossing,4.13
A Tragic Kind of Wonderful,3.89
Song of Myself,4.17
Lake + Manning,4.37
The Prodigal Daughter,3.95
Molloy,4.06
Spying in High Heels,3.68
"Farewell, My Lovelies",4.47
Memorizing You,4.36
The Negotiator,3.99
Flunked,3.82
Greybeard,3.53
Koan,4.16
Howl's Moving Castle,4.26
Captive,4.29
Earth Star,4.11
Safely Home,4.43
Her Warriors' Three Wishes,4.05
Seeing,3.82
Thirteen Moons,3.7
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",4.56
Heidi,3.99
The Chronicles of Prydain,4.41
The Moth in the Mirror,3.97
Quails 101: The Most Asked Questions And Answers On Quail Farming,4.4
An Untamed State,4.08
The Book of Disquiet: The Complete Edition,4.44
The Cold Commands,3.95
The Huntress,3.88
Fire Storm: (One Dollar Horse book 3),4.34
Ford County,3.62
Meant to Be,3.73
The Lemonade War,3.91
"A Bride's Story, Vol. 1",4.23
Kindling the Moon,3.77
Downtown Owl,3.55
Paths of Darkness Collector's Edition,4.38
The Final Hour,4.33
Cold Sun: Obsession,4.53
Forgotten Lore: Volume I,4.29
The Lusiads,4.0
Scarlet Angel,4.67
In Search of Duende,4.29
Dancing on the Edge,3.87
Watch over Me,4.02
Mr. Darcy's Diary,3.65
Sleeping with the Enemy,4.47
Limits of Destiny,4.5
The Beach,3.94
The Night Strangers,3.16
"Akira, Vol. 2",4.45
"Sucks to Be Me: The All-True Confessions of Mina Hamilton, Teen Vampire (maybe)",3.73
The Clone,3.48
Tempt Me Tonight,3.76
The Complete Poems,4.28
In a Sunburned Country,4.07
Voyager: The Art of Pure Awareness,3.67
The Wind Boy,4.2
The Vast Fields of Ordinary,3.93
Autobiography of a Sadhu: A Journey into Mystic India,4.08
Banker,4.06
The Genius of Dogs: How Dogs Are Smarter than You Think,3.98
Sustained,4.33
One Day in My Life,4.38
The Human Obsession,4.14
Summoning the Night,3.98
The Fall of Terok Nor,4.01
"Surprised by Hope: Rethinking Heaven, the Resurrection, and the Mission of the Church",4.33
Someone to Run With,4.14
Mrs. Frisby and the Rats of NIMH,4.14
The Last Thing He Needs,4.1
Binding Circumstance,4.86
Edge Of Hunger,3.85
Vale of the Vole,3.61
The Interesting Narrative of the Life of Olaudah Equiano: Written by Himself,3.74
The Stars Never Rise,3.72
Delusion in Death,4.34
Blaze,3.73
Gods in Alabama,3.86
The Viper's Nest,3.98
Sprouting Into Greatness: Principles of Personal Development That Will Empower You to Create Your Own Destiny,4.94
My Clockwork Muse (The Poe Files Mysteries),3.54
The Song Rising,4.16
Anatomy of a Boyfriend,3.4
Lirael,4.27
The Pesthouse,3.51
Billionaire Boy,4.22
Excellent Women,3.92
Summerland,3.86
The Citadel of the Autarch,4.21
Cuttlefish Bones,4.37
"Bleach, Volume 07",4.36
Citizen Kane,4.02
Willow Springs,4.28
Blueprints for Building Better Girls: Fiction,3.57
Damned,4.03
The Secret Commonwealth,4.07
Fury,3.3
Fang,4.06
Homegrown Democrat: A Few Plain Thoughts from the Heart of America,3.97
Baree: The Story of a Wolf-Dog,4.0
Delilah,3.75
Surviving Suicide,4.46
The Prophet of Lamath,3.91
Silence: Part Two of Echoes & Silence,4.57
The Bone Collector,4.19
The Iron Tree,3.43
Hazard Zone,4.17
Angel's Wolf,4.21
Because I Am Furniture,3.84
Immortal Beloved,4.1
Her Dragon's Fire,4.16
Manwich,3.66
Play Dead,3.76
Jacob's Room,3.54
Camino Island,3.75
The Revolution of Ivy,3.92
Talon,3.75
"One Robe, One Bowl: The Zen Poetry of Ryōkan",4.51
The Faerie War,4.32
Twisted Palace,3.97
Diary of a Wimpy Kid,3.99
Eagle's Gift,4.07
Reunion in Death,4.35
Demons are a Ghoul's Best Friend,4.06
"Chicken Diseases: Identification And Management Of Stress, Vices, And Diseases In Chickens",5.0
The Laramie Project,4.18
Connor,3.94
Her Dragon To Slay,3.83
The Reformed Vampire Support Group,3.49
Rider in the Dark,3.99
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,3.95
Fat! So?: Because You Don't Have to Apologize for Your Size,4.12
Hide and Seek,3.83
The Stand,4.34
Absolute Favourites,4.36
The Professor's House,3.76
The Rules of Survival,3.98
Deadline,4.1
The Nightingale's Song,4.25
Night,4.34
Remember Me,4.21
A Love Untamed,4.15
If You Fall...: It's a New Beginning,4.06
Men of Maize,4.02
Trigger Warning: Short Fictions and Disturbances,3.91
Exploring English,4.57
Abiku,4.07
Fire Light,3.89
Pride of Baghdad,3.89
Shadows on the Moon,3.87
Legion of the Damned,4.0
Highland Avenger,4.21
"07-Ghost, Volume 02",4.24
One Hundred Views of NW3,4.13
Lord Byron: The Major Works,4.15
The Hatchling,4.06
The Strip,3.93
The Codex,3.89
Stumbling Toward Faith,4.07
Caprice and Rondo,4.47
If You Dare,4.0
On Agate Hill,3.77
The Green Hills of Earth,3.86
Necessary Force,3.82
A Stab in the Dark,4.01
The Thing About Jellyfish,4.09
My Lady of Cleves,3.99
The Darkness of the Womb,3.71
The Last Boyfriend,4.08
Puppies for Sale: $25.00 a Collection of the Best Dog Stories Ever,4.41
Uncle,3.96
Harry Potter Series Box Set,4.73
J. D. Robb 10 Books Death Series Collection Set,4.69
It Does Not Die,3.92
Poems,4.38
Famous Last Words,3.99
Cat,3.73
The Eye of the Moon,4.17
"Walt Disney - Eeyore, Be Happy (A Little Golden Book)",4.39
The Starfish and the Spider: The Unstoppable Power of Leaderless Organizations,3.87
Life in the Fast-Food Lane,3.5
Mortal Coils,4.06
Grave Mercy,3.89
Death Blows,3.87
Memory Wall,4.09
The Women's Room,3.96
The New Hunger,3.91
Haunted,3.58
Born Again,4.25
The Fall of Lucifer,3.96
The Legacy of Heorot,3.94
Seneca Falls and the Origins of the Womens Rights Movement (Pivotal Moments in American History),3.76
The Binding,3.88
"Annie's Baby: The Diary of Anonymous, A Pregnant Teenager",3.63
Tempting the Highlander,4.07
A Criminal Defense,4.01
A Company of Swans,3.99
The Sword,3.9
The Redbreast,3.93
Root,4.24
The Sunday Philosophy Club,3.36
Private Faces: The Autobiography,3.81
Easton,3.75
Discourse on Method,3.72
I Am Waltz,4.12
Master and Commander: 20 Volume Set,4.76
The Wrath and the Dawn,4.11
A Spy at Home,3.7
William Golding's Lord of the Flies,3.76
Nick & Norah's Infinite Playlist,3.7
"Crazy Is My Superpower: How I Triumphed by Breaking Bones, Breaking Hearts, and Breaking the Rules",4.49
Wothlondia Rising: The Anthology,4.25
The Hogwarts Library,4.45
Three Men in a Boat,3.88
Princess of the Silver Woods,4.06
A Ceremony of Losses,4.18
Deadly Little Lies,4.02
Independence Day,3.86
Chinese Education in Singapore: An Untold Story of Conflict and Change,3.53
The Lost Prince,4.04
The Exception,4.03
"Jules Verne: Seven Novels (Extraordinary Voyages, #1 & 3 & 4 & 6 & 7 & 11 & 12)",4.33
Palestine,4.2
Good Oil,3.52
Shawn's Voice,4.05
The Atheist's Bible: An Illustrious Collection of Irreverent Thoughts,3.93
Touched,3.63
Death Note Box Set,4.53
A Grave Talent,3.93
The Hostile Hospital,3.97
Leviathan Wept and Other Stories,3.92
"Gravitation, Volume 01",3.77
Stand Tall,3.68
Boy Meets Girl,3.83
Sharpe's Eagle,4.26
Why I Left Goldman Sachs: A Wall Street Story,3.7
Magic Rising,4.15
Kicking It,3.83
Junie B. Jones and the Yucky Blucky Fruitcake,4.01
Code Name: Baby,3.85
Petronella Saves Nearly Everyone: The Entomological Tales of Augustus T. Percival,3.44
Farmer Giles of Ham,3.86
The Last Straw,4.15
The Secret of Ella and Micha,4.0
Croak,3.92
I Am Her Revenge,3.53
The Star Dwellers,4.09
Strangely Enough,4.0
Castles: Kingdom Divided / Alas My Love / If Only / Five Geese Flying,4.06
A Gate of Night,4.21
The Battle of the Books,3.39
The Metastases of Enjoyment: Six Essays on Women and Causality,3.85
Hanna's Daughters,3.63
All the Broken Pieces,3.98
The Vanishing Stair,4.24
The Champlevé Gallery,5.0
Fair Play,3.94
Everything We Keep,3.86
The Owl Who Was Afraid of the Dark,4.24
Buffy the Vampire Slayer: The Long Way Home,3.96
Mutant Message Down Under,3.77
Two Truths and a Lie,3.98
The Rules of Magic,3.97
The I-5 Killer,4.0
Irreplaceable,4.07
Treasure,3.89
I Have Tampered with the Divine Plan,4.09
The McSterlingscenes,4.42
The Mind and the Brain: Neuroplasticity and the Power of Mental Force,4.09
Diary of a Freedom Writer: The Experience,4.25
2001 Nights: Children of Earth,4.29
The Farming of Bones,4.08
Forever Odd,3.97
Selected Poems,4.11
Dancing Naked,4.03
Third Grade Mermaid,3.64
The Hummingbird's Daughter,4.19
All That Is Bitter and Sweet: A Memoir,3.59
If I Had My Life to Live Over I Would Pick More Daisies,3.74
Fault Lines: How Hidden Fractures Still Threaten the World Economy,4.11
Hunt the Moon,4.25
Wicked Chemistry: Original Weeping Willow Stories (Wicked Willow Series #1),4.0
Wandering on the Way: Early Taoist Tales and Parables of Chuang Tzu,4.38
Emergency Animal Rescue Stories: True Stories About People Dedicated to Saving Animals from Disasters,4.26
Love Bites,4.11
Zomboro Virus,3.63
India After Gandhi: The History of the World's Largest Democracy,4.38
The Last Time I Saw You,3.37
The Shadow Throne,4.25
What Remains of Heaven,4.23
Bob: No Ordinary Cat,4.27
Vathek,3.28
In the Shadow of the Mountains,4.14
Start the Game,4.19
The Lady is a Vamp,4.23
Mathilda,3.26
Reservation Blues,3.98
The End,4.01
Strategic Management: Concepts and Cases,3.83
A History of the World in 10½ Chapters,3.89
The Medici Letters: The Secret Origins of the Renaissance,3.89
The Butterfly Garden,3.96
Being and Time,4.03
Love is Eternal,4.05
A War of Gifts,3.67
The Ringmaster's Secret,3.93
The Secret Diaries of Miss Anne Lister,3.95
