title,rating,tokens
Death: The High Cost of Living,4.19,Death: The High Cost of Living
La Dame aux Camélias,4.0,La Dame aux Camélias
Childhood and Society,4.06,Childhood and Society
Ali and Nino,3.93,Ali and Nino
The Road,3.97,The Road
Life Skills,3.62,Life Skills
Ember,3.7,Ember
Process Theology,3.82,Process Theology
On the Jellicoe Road,4.13,On the Jellicoe Road
Unrequited,4.37,Unrequited
Lord of the Night,4.07,Lord of the Night
Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,4.37,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders
The Edge of Always,4.01,The Edge of Always
The Sense of Touch,4.22,The Sense of Touch
A Hand Full of Stars,4.03,A Hand Full of Stars
The Goddess Legacy,4.04,The Goddess Legacy
Not Exactly a Love Story,3.37,Not Exactly a Love Story
Why Are We in Vietnam?,3.32,Why Are We in Vietnam?
Les Liaisons dangereuses,4.07,Les Liaisons dangereuses
Illusion,4.37,Illusion
Forever,3.91,Forever
The Cookbook of Everlasting Love: Sex on a Plate: Food as Foreplay,5.0,The Cookbook of Everlasting Love: Sex on a Plate: Food as Foreplay
The Pacific,4.13,The Pacific
When It Rains,4.24,When It Rains
Happily Ever Ninja,4.15,Happily Ever Ninja
The Girls,3.79,The Girls
Mrs. Wiggs of the Cabbage Patch,3.82,Mrs. Wiggs of the Cabbage Patch
The Dirt: Confessions of the World's Most Notorious Rock Band,4.15,The Dirt: Confessions of the World's Most Notorious Rock Band
Turtle Moon,3.83,Turtle Moon
Dark Debt,4.25,Dark Debt
Sharpe's Triumph,4.12,Sharpe's Triumph
"""Repent, Harlequin!"" Said the Ticktockman",4.19,"""Repent, Harlequin!"" Said the Ticktockman"
Rachel and Her Children: Homeless Families in America,4.21,Rachel and Her Children: Homeless Families in America
Byomkesh Bakshi Stories,4.28,Byomkesh Bakshi Stories
The Key to the Golden Firebird,3.67,The Key to the Golden Firebird
The Fourth Way,4.22,The Fourth Way
"Poison, Perennials, and a Poltergeist",3.51,"Poison, Perennials, and a Poltergeist"
The Bell Curve: Intelligence and Class Structure in American Life,3.55,The Bell Curve: Intelligence and Class Structure in American Life
Free Comic Book Day: Star Wars,3.96,Free Comic Book Day: Star Wars
A Perfect Storm,4.22,A Perfect Storm
Elementals: Mystic Warriors,4.19,Elementals: Mystic Warriors
Once an Arafat Man: The True Story of How a PLO Sniper Found a New Life,4.19,Once an Arafat Man: The True Story of How a PLO Sniper Found a New Life
What the Wind Knows,4.31,What the Wind Knows
Destiny of the Wolf,4.06,Destiny of the Wolf
Seasons of Her Life,4.08,Seasons of Her Life
The Safest Place,3.6,The Safest Place
Witch's Bell 6,4.35,Witch's Bell 6
"The House of Rothschild, Vol 1: Money's Prophets, 1798-1848",3.85,"The House of Rothschild, Vol 1: Money's Prophets, 1798-1848"
"Hugh Johnson's Wine Companion: The Encyclopedia of Wines, Vineyards and Winemakers",4.04,"Hugh Johnson's Wine Companion: The Encyclopedia of Wines, Vineyards and Winemakers"
It Happens for a Reason,3.71,It Happens for a Reason
This Is Just to Say: Poems of Apology and Forgiveness,4.22,This Is Just to Say: Poems of Apology and Forgiveness
Resurrection,4.14,Resurrection
Dancing With Werewolves,3.2,Dancing With Werewolves
"Win Competitions Online (A Competitors Guide, #1)",4.0,"Win Competitions Online (A Competitors Guide, #1)"
Nemesis,3.72,Nemesis
Whose Woman Was She? A True Hollywood Story,3.85,Whose Woman Was She? A True Hollywood Story
God: A Biography,3.92,God: A Biography
The Crusades Through Arab Eyes,4.19,The Crusades Through Arab Eyes
God King: A Story in the Days of King Hezekiah,3.95,God King: A Story in the Days of King Hezekiah
Precious and Fragile Things,3.44,Precious and Fragile Things
The Monstrumologist,3.89,The Monstrumologist
Chosen: The Lost Diaries of Queen Esther,4.08,Chosen: The Lost Diaries of Queen Esther
The Lies About Truth,3.88,The Lies About Truth
Initiation,3.78,Initiation
The Exiles,3.91,The Exiles
Enslaved,4.05,Enslaved
"Gravitation, Volume 05",4.03,"Gravitation, Volume 05"
Blood of Angels,3.91,Blood of Angels
Long Time No See,3.97,Long Time No See
Penny Flame,3.88,Penny Flame
Lost in Time,4.04,Lost in Time
Dragongirl,4.04,Dragongirl
Sweet,3.91,Sweet
Before He Was Gone,4.15,Before He Was Gone
The Billionaire Rancher's Bargain for A Bride,4.43,The Billionaire Rancher's Bargain for A Bride
The Fig Orchard,4.11,The Fig Orchard
"Owly, Vol. 3: Flying Lessons",4.23,"Owly, Vol. 3: Flying Lessons"
The Warded Man,4.24,The Warded Man
London's Perfect Scoundrel,4.05,London's Perfect Scoundrel
Taylor Swift: The Unofficial Story: Platinum Edition,4.17,Taylor Swift: The Unofficial Story: Platinum Edition
Master of Craving,4.05,Master of Craving
"Say Cheese, Medusa!",4.16,"Say Cheese, Medusa!"
Minx,3.85,Minx
Swann's Way,4.12,Swann's Way
Welcome to Rabbitwood Farm,5.0,Welcome to Rabbitwood Farm
"Fullmetal Alchemist, Vol. 2",4.52,"Fullmetal Alchemist, Vol. 2"
Do's and Don'ts of Yesteryear: A Treasury of Early American Folk Wisdom,3.96,Do's and Don'ts of Yesteryear: A Treasury of Early American Folk Wisdom
The Echo Maker,3.4,The Echo Maker
Foxmask,4.11,Foxmask
A Bird Without Wings,4.17,A Bird Without Wings
Dragonflight / Dragonquest,4.47,Dragonflight / Dragonquest
Walden and other writings,3.94,Walden and other writings
Healthy Breakfast Recipes: Kick Out Your Boring Diet Today (Healthy Recipes),5.0,Healthy Breakfast Recipes: Kick Out Your Boring Diet Today (Healthy Recipes)
Higher,4.13,Higher
How to Travel with a Salmon and Other Essays,3.85,How to Travel with a Salmon and Other Essays
Running Wild,3.5,Running Wild
Spud,4.07,Spud
Dinotopia: A Land Apart from Time,4.25,Dinotopia: A Land Apart from Time
The Haunted Bookshop,3.64,The Haunted Bookshop
"The Complete Novels of Jane Austen, Vol 1: Sense & Sensibility/Pride & Prejudice/Mansfield Park",4.52,"The Complete Novels of Jane Austen, Vol 1: Sense & Sensibility/Pride & Prejudice/Mansfield Park"
With Everything I Am,4.27,With Everything I Am
The Power of a Praying Wife,4.33,The Power of a Praying Wife
The Remnant,4.02,The Remnant
A Lion in Your Number,3.46,A Lion in Your Number
The Kite Runner: A Portrait of the Marc Forster Film,4.61,The Kite Runner: A Portrait of the Marc Forster Film
Cemetery Street,4.15,Cemetery Street
Free to a Good Home,3.78,Free to a Good Home
The Pigman,3.59,The Pigman
The Dragon Factory,4.15,The Dragon Factory
The Rithmatist,4.22,The Rithmatist
Light of My Heart,3.93,Light of My Heart
The God of the Old Testament Is Not the Father of Jesus,5.0,The God of the Old Testament Is Not the Father of Jesus
The Emotion Thesaurus: A Writer's Guide to Character Expression,4.49,The Emotion Thesaurus: A Writer's Guide to Character Expression
Flat-Out Celeste,4.25,Flat-Out Celeste
We Are All Welcome Here,3.86,We Are All Welcome Here
Scales of Gold,4.46,Scales of Gold
Tiana,4.26,Tiana
Our Lady of Guadalupe: And the Conquest of Darkness,4.51,Our Lady of Guadalupe: And the Conquest of Darkness
The Book of the Sword,3.6,The Book of the Sword
The Apothecary's Daughter,3.8,The Apothecary's Daughter
Maximum Security,4.26,Maximum Security
Big Questions,4.16,Big Questions
I Capture the Castle,4.0,I Capture the Castle
Chasing Tomorrow,3.82,Chasing Tomorrow
The Amish Seamstress,4.25,The Amish Seamstress
Paris for One,3.58,Paris for One
Mark of the Plague,4.42,Mark of the Plague
This Immortal,3.93,This Immortal
The Idea of Justice,4.0,The Idea of Justice
Havemercy,3.63,Havemercy
Secret of the Sirens,4.04,Secret of the Sirens
The Last Templar,3.62,The Last Templar
Ancient Forces Collection: The Ancients/The Wiccan/The Cards,4.26,Ancient Forces Collection: The Ancients/The Wiccan/The Cards
When It Happens,3.75,When It Happens
Father and Son,4.13,Father and Son
Tietam Brown,3.73,Tietam Brown
The Misenchanted Sword,4.03,The Misenchanted Sword
William and Kate: A Royal Love Story,3.58,William and Kate: A Royal Love Story
Lopsided: How Having Breast Cancer Can Be Really Distracting,3.7,Lopsided: How Having Breast Cancer Can Be Really Distracting
The Lost and Found Journal of a Miner 49er: Vol. 2,4.6,The Lost and Found Journal of a Miner 49er: Vol. 2
Steel,3.42,Steel
The Wonder,3.62,The Wonder
Kris Jenner . . . And All Things Kardashian,3.54,Kris Jenner . . . And All Things Kardashian
The Way Back: Inside the Mind of a Multiple Personality,4.08,The Way Back: Inside the Mind of a Multiple Personality
Edge of Darkness,4.37,Edge of Darkness
The Memory Stones,3.59,The Memory Stones
Fairy Tales from the Brothers Grimm: A New English Version,4.08,Fairy Tales from the Brothers Grimm: A New English Version
Knots and Crosses,3.83,Knots and Crosses
The Blue Sword,4.19,The Blue Sword
Prophet,3.94,Prophet
God's Generals Why They Succeeded and Why Some Fail,4.46,God's Generals Why They Succeeded and Why Some Fail
Walking In the Midst of Fire,4.01,Walking In the Midst of Fire
A Wind in the Door,4.0,A Wind in the Door
The Charm School,4.27,The Charm School
Legacy of a Pack Rat,3.89,Legacy of a Pack Rat
The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,4.09,The History of the Ancient World: From the Earliest Accounts to the Fall of Rome
Fear Itself,3.97,Fear Itself
"Chobits, Vol. 6",4.12,"Chobits, Vol. 6"
Sparks Rise,4.35,Sparks Rise
The Maitreya,5.0,The Maitreya
The Art of Always Being Right,3.57,The Art of Always Being Right
Dagon and Other Macabre Tales,4.2,Dagon and Other Macabre Tales
Thanksgiving Night,3.22,Thanksgiving Night
Walking in Circles Before Lying Down,3.45,Walking in Circles Before Lying Down
Hope and Red,3.92,Hope and Red
Sir Dalton and the Shadow Heart,4.44,Sir Dalton and the Shadow Heart
Reckless Endangerment,4.01,Reckless Endangerment
Hot Girl,4.0,Hot Girl
A Night to Forget,3.52,A Night to Forget
The Miraculous Day of Amalia Gómez,3.72,The Miraculous Day of Amalia Gómez
M: The Man Who Became Caravaggio,3.91,M: The Man Who Became Caravaggio
Forever a Hustler's Wife,4.46,Forever a Hustler's Wife
Executive,4.11,Executive
Lovers and Dreamers,4.34,Lovers and Dreamers
Wellbeing: The Five Essential Elements,3.75,Wellbeing: The Five Essential Elements
Dark Magic,4.15,Dark Magic
April 1865: The Month That Saved America,4.15,April 1865: The Month That Saved America
Shadowmere,4.33,Shadowmere
Winter in Madrid,3.83,Winter in Madrid
The Folk of the Faraway Tree,4.33,The Folk of the Faraway Tree
The Craving,4.0,The Craving
Banana,3.88,Banana
"Holidays in Hell: In Which Our Intrepid Reporter Travels to the World's Worst Places and Asks, ""What's Funny about This?""",3.93,"Holidays in Hell: In Which Our Intrepid Reporter Travels to the World's Worst Places and Asks, ""What's Funny about This?"""
"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady",4.26,"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady"
Manners & Mutiny,4.23,Manners & Mutiny
The Human Familiar,4.3,The Human Familiar
The Promise,4.18,The Promise
Off the Page,3.73,Off the Page
Seduced by His Touch,3.88,Seduced by His Touch
Three Day Road,4.3,Three Day Road
Rhianna,4.13,Rhianna
The Clique,3.6,The Clique
Followed by Frost,4.22,Followed by Frost
Something Upstairs,3.84,Something Upstairs
Alphabet of Thorn,4.07,Alphabet of Thorn
Village School,4.08,Village School
The Elite Kings' Club Box Set,4.52,The Elite Kings' Club Box Set
Renegades,4.15,Renegades
Silent Spring,3.98,Silent Spring
Metatron: The Angel Has Risen,4.03,Metatron: The Angel Has Risen
Atheis,3.87,Atheis
The Nobodies,4.05,The Nobodies
The Courage to Create,4.11,The Courage to Create
Forbidden Colors,3.93,Forbidden Colors
Blind Obsession,4.02,Blind Obsession
"Engineering Mechanics: Dynamics, SI Version & Engineering Mechanics: Statics, SI Version",3.8,"Engineering Mechanics: Dynamics, SI Version & Engineering Mechanics: Statics, SI Version"
The Wall of Winnipeg and Me,4.32,The Wall of Winnipeg and Me
Cold Days,4.47,Cold Days
Just Friends,4.31,Just Friends
The Hand on the Wall,4.2,The Hand on the Wall
Essential Oils For Beginners: Ultimate Guide To Aromatherapy And Essential Oils For Healing,5.0,Essential Oils For Beginners: Ultimate Guide To Aromatherapy And Essential Oils For Healing
A Stone for Danny Fisher,3.98,A Stone for Danny Fisher
The Dark Design,3.73,The Dark Design
Kiss of Crimson,4.15,Kiss of Crimson
Brother to a Dragonfly,4.3,Brother to a Dragonfly
The Ghost Wore Yellow Socks,3.98,The Ghost Wore Yellow Socks
Turbulence,2.6,Turbulence
The Guest Cat,3.53,The Guest Cat
Julio Cortázar: Rayuela (Critical Guides to Spanish Texts),4.4,Julio Cortázar: Rayuela (Critical Guides to Spanish Texts)
Star of the Parade,3.75,Star of the Parade
Sexism and God Talk: Toward a Feminist Theology,4.06,Sexism and God Talk: Toward a Feminist Theology
The Abbi Glines Rosemary Beach Collection,4.69,The Abbi Glines Rosemary Beach Collection
Politics - According to the Bible: A Comprehensive Resource for Understanding Modern Political Issues in Light of Scripture,3.87,Politics - According to the Bible: A Comprehensive Resource for Understanding Modern Political Issues in Light of Scripture
A Lion Called Christian: The True Story of the Remarkable Bond Between Two Friends and a Lion,4.06,A Lion Called Christian: The True Story of the Remarkable Bond Between Two Friends and a Lion
Snow White and Rose Red,3.76,Snow White and Rose Red
Plague,3.8,Plague
Embrace The Dawning,4.2,Embrace The Dawning
Across the Void,3.15,Across the Void
Renegade Magic,4.1,Renegade Magic
Set in Stone,4.04,Set in Stone
Strumpet City,4.26,Strumpet City
Julie,3.67,Julie
The Marriage Plot,3.45,The Marriage Plot
A Dream in Polar Fog,4.15,A Dream in Polar Fog
Big Bang: The Origin of the Universe,4.18,Big Bang: The Origin of the Universe
Life After Wrap,4.57,Life After Wrap
The Pillars of Islam & Iman - And What Every Muslim Must Know About His Religion,4.62,The Pillars of Islam & Iman - And What Every Muslim Must Know About His Religion
The Cut-Throat Celts,3.97,The Cut-Throat Celts
Duel of Eagles: The Struggle for the Skies from the First World War to the Battle of Britain,4.2,Duel of Eagles: The Struggle for the Skies from the First World War to the Battle of Britain
Unapologetic,3.75,Unapologetic
The Deep,3.38,The Deep
Changeling,3.97,Changeling
Fall for Anything,3.76,Fall for Anything
Picture Perfect,3.54,Picture Perfect
Rust & Stardust,4.13,Rust & Stardust
"Fables, Vol. 15: Rose Red",4.23,"Fables, Vol. 15: Rose Red"
Gargantua,3.48,Gargantua
The Great Secret: Talks on the Songs of Kabir,4.03,The Great Secret: Talks on the Songs of Kabir
New and Collected Poems: 1931-2001,4.35,New and Collected Poems: 1931-2001
Holiday Gifts,4.41,Holiday Gifts
The Girl of the Sea of Cortez,4.04,The Girl of the Sea of Cortez
The Illustrated A Brief History of Time/The Universe in a Nutshell,4.31,The Illustrated A Brief History of Time/The Universe in a Nutshell
God is in the Little Things Messages from the Golden Angels,4.7,God is in the Little Things Messages from the Golden Angels
The Two Princesses of Bamarre,4.04,The Two Princesses of Bamarre
The Unhoneymooners,3.98,The Unhoneymooners
The Greyfriar,3.81,The Greyfriar
Beneath the Secrets,4.16,Beneath the Secrets
Hotel Sorrento,2.86,Hotel Sorrento
Freethinkers: A History of American Secularism,4.05,Freethinkers: A History of American Secularism
Mirza Ghalib,4.78,Mirza Ghalib
Take This Regret,4.04,Take This Regret
Verity,4.32,Verity
Sniper One: The Blistering True Story of a British Battle Group Under Siege,4.26,Sniper One: The Blistering True Story of a British Battle Group Under Siege
The Outcast,4.09,The Outcast
The White Tree,3.7,The White Tree
The Dark Tower Omnibus,4.45,The Dark Tower Omnibus
Stephanie Alexander's Kitchen Garden Companion,4.42,Stephanie Alexander's Kitchen Garden Companion
Dangerous: Risky Business / Storm Warning / The Welcoming,3.89,Dangerous: Risky Business / Storm Warning / The Welcoming
Floors,3.94,Floors
Almost Priest,3.93,Almost Priest
A Common Life: The Wedding Story,4.22,A Common Life: The Wedding Story
Moneyball: The Art of Winning an Unfair Game,4.26,Moneyball: The Art of Winning an Unfair Game
Midnight Alley,4.1,Midnight Alley
The Gold Miner's Daughter,5.0,The Gold Miner's Daughter
Love Invents Us,3.59,Love Invents Us
The President's Lady,3.94,The President's Lady
Taken,3.27,Taken
Outcast,4.33,Outcast
Blood Trail,4.25,Blood Trail
Spark A Little Flame (Make A Little Magic #1),4.0,Spark A Little Flame (Make A Little Magic #1)
Mr. Brown Can Moo! Can You?,4.12,Mr. Brown Can Moo! Can You?
Leopard's Prey,4.3,Leopard's Prey
Lie Down with Lions,3.83,Lie Down with Lions
It's Not about the Bike: My Journey Back to Life,3.71,It's Not about the Bike: My Journey Back to Life
Midnight Caller,3.83,Midnight Caller
Hope Unseen: The Story of the U.S. Army's First Blind Active-Duty Officer,4.22,Hope Unseen: The Story of the U.S. Army's First Blind Active-Duty Officer
Miss Pettigrew Lives for a Day,3.97,Miss Pettigrew Lives for a Day
How To Talk To A Widower,3.98,How To Talk To A Widower
The Last Stand of the New York Institute,4.24,The Last Stand of the New York Institute
Hot Six,4.19,Hot Six
"Alas, Babylon",4.08,"Alas, Babylon"
Coven of Celsus Elizabeth,3.33,Coven of Celsus Elizabeth
Good Eats: The Early Years,4.37,Good Eats: The Early Years
A Dirty Job,4.05,A Dirty Job
Renaissance Society,3.48,Renaissance Society
Dark Corner,3.98,Dark Corner
Testimony,3.57,Testimony
"Krazy and Ignatz, 1925-1926: There is a Heppy Land Furfur A-waay",4.43,"Krazy and Ignatz, 1925-1926: There is a Heppy Land Furfur A-waay"
Into The Shadow,4.21,Into The Shadow
The Deep Beyond: Cuckoo's Egg / Serpent's Reach (Union-Alliance Universe),4.1,The Deep Beyond: Cuckoo's Egg / Serpent's Reach (Union-Alliance Universe)
Treasure Box,3.33,Treasure Box
A Court of Mist and Fury,4.62,A Court of Mist and Fury
Ella Enchanted,3.98,Ella Enchanted
The Flight of the Feathered Serpent,4.54,The Flight of the Feathered Serpent
Winter,4.44,Winter
Trouble,3.84,Trouble
"More Than Love, A Husband's Tale",4.31,"More Than Love, A Husband's Tale"
Suicide Casanova,3.5,Suicide Casanova
Chicken Soup for the Teenage Soul,3.93,Chicken Soup for the Teenage Soul
Sounder,3.97,Sounder
Fuzzy Mud,3.88,Fuzzy Mud
The Antonio Gramsci Reader: Selected Writings 1916-1935,4.26,The Antonio Gramsci Reader: Selected Writings 1916-1935
Ingo,3.94,Ingo
Real Ugly,3.86,Real Ugly
Devilish,3.74,Devilish
Digitalis,4.38,Digitalis
The Summer that Melted Everything,3.94,The Summer that Melted Everything
A Man Without a Country,4.08,A Man Without a Country
Black Lament,4.05,Black Lament
Frostproof,4.63,Frostproof
Babe: The Gallant Pig,4.08,Babe: The Gallant Pig
A Man Called Ove,4.36,A Man Called Ove
Hitler,4.34,Hitler
"Out of Sight, Out of Time",4.33,"Out of Sight, Out of Time"
"Debt: The First 5,000 Years",4.16,"Debt: The First 5,000 Years"
The Funhouse,3.62,The Funhouse
Who Let the Ghosts Out?,3.86,Who Let the Ghosts Out?
Third Grade Angels,3.8,Third Grade Angels
The Burning Page,4.05,The Burning Page
The Complete Uncollected Stories,4.28,The Complete Uncollected Stories
Frostfire,3.84,Frostfire
"The Color Code: A New Way to See Yourself, Your Relationships, and Life",3.91,"The Color Code: A New Way to See Yourself, Your Relationships, and Life"
"The Pentagon's Brain: An Uncensored History of DARPA, America's Top-Secret Military Research Agency",3.9,"The Pentagon's Brain: An Uncensored History of DARPA, America's Top-Secret Military Research Agency"
A Room of One's Own / Three Guineas,4.17,A Room of One's Own / Three Guineas
A Kiss at Midnight,3.8,A Kiss at Midnight
Fade,4.57,Fade
The Old Man and the Sea,3.78,The Old Man and the Sea
The Last Days of Rabbit Hayes,4.25,The Last Days of Rabbit Hayes
The Creation of Eve,3.69,The Creation of Eve
Who Is Jesus?: Linking the Historical Jesus with the Christ of Faith,4.07,Who Is Jesus?: Linking the Historical Jesus with the Christ of Faith
City of Orphans,3.97,City of Orphans
Martin and Malcolm and America: A Dream or a Nightmare?,4.39,Martin and Malcolm and America: A Dream or a Nightmare?
The Black Hand Gang,3.19,The Black Hand Gang
Uncharted,4.05,Uncharted
The Martha Rules,3.64,The Martha Rules
What to Listen for in Music,3.94,What to Listen for in Music
The Guise of Another,3.82,The Guise of Another
The Changeling,4.13,The Changeling
The Dinosaur Lords,3.04,The Dinosaur Lords
How Old Is the Universe?,4.19,How Old Is the Universe?
A Cry of Angels,4.43,A Cry of Angels
A Sword in Her Hand,3.59,A Sword in Her Hand
Claimed,3.77,Claimed
Not in the Heart,4.18,Not in the Heart
Waging Heavy Peace: A Hippie Dream,3.58,Waging Heavy Peace: A Hippie Dream
Cat's Eye,3.92,Cat's Eye
Don't Close Your Eyes,4.37,Don't Close Your Eyes
Girl in a Band,3.62,Girl in a Band
The Divine Conspiracy: Rediscovering Our Hidden Life in God,4.18,The Divine Conspiracy: Rediscovering Our Hidden Life in God
Transference,3.75,Transference
Seeker After Truth,4.61,Seeker After Truth
Viper Moon,3.62,Viper Moon
"Runaways Deluxe, Vol. 1",4.2,"Runaways Deluxe, Vol. 1"
Pretty Girl-13,4.01,Pretty Girl-13
Every Day I Love You More: (Just Not Today): Lessons in Loving One Partner for Life,3.39,Every Day I Love You More: (Just Not Today): Lessons in Loving One Partner for Life
Blackbird: A Childhood Lost and Found,4.09,Blackbird: A Childhood Lost and Found
A Tide of War,4.58,A Tide of War
The Time Thief,3.92,The Time Thief
Prelude To Christopher,3.84,Prelude To Christopher
Across the River and into the Trees,3.33,Across the River and into the Trees
Frost Burned,4.36,Frost Burned
Poems,4.16,Poems
The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,4.13,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story
Murder Past Due,3.82,Murder Past Due
The Slap,3.2,The Slap
The Other Lands,3.8,The Other Lands
The Complete Book of Swords,4.05,The Complete Book of Swords
Touching Smoke,3.71,Touching Smoke
"Eat This, Not That!: The No-Diet Weight Loss Solution",3.71,"Eat This, Not That!: The No-Diet Weight Loss Solution"
The Prophet,4.22,The Prophet
Play of Light,3.92,Play of Light
Nowhere Feels Like Home,4.77,Nowhere Feels Like Home
Waiting on the Sidelines,4.03,Waiting on the Sidelines
Origins,3.87,Origins
Unravel,3.65,Unravel
The Very Best of Charles de Lint,4.31,The Very Best of Charles de Lint
The Dive from Clausen's Pier,3.42,The Dive from Clausen's Pier
Monsoon Love and Other Nepali Stories,3.67,Monsoon Love and Other Nepali Stories
Can't Buy Me Love,4.14,Can't Buy Me Love
Modern Man in Search of a Soul,4.19,Modern Man in Search of a Soul
Dreaming the Eagle,4.06,Dreaming the Eagle
Natural Born Angel,3.79,Natural Born Angel
The Joke,4.01,The Joke
The Pixar Touch: The Making of a Company,3.94,The Pixar Touch: The Making of a Company
My First Coup d'Etat: And Other True Stories from the Lost Decades of Africa,3.78,My First Coup d'Etat: And Other True Stories from the Lost Decades of Africa
The Forgotten Beasts of Eld,4.08,The Forgotten Beasts of Eld
Stepbrother Dearest,4.1,Stepbrother Dearest
Separation of Power,4.3,Separation of Power
Rapture,3.86,Rapture
